KIT ID,Текущий путь KIT,Текущая категория,Родитель KIT,Скрыта в меню,Дубль названия в KIT,Дубль полного пути,Предлагаемое название,Путь Ozon,Уровень Ozon,Ozon description_category_id,Ozon type_id,Тип совпадения,Оценка совпадения,Уверенность,Предлагаемое действие,Комментарий
01a0be83-a346-70b1-8456-631d2c0a3dd2,Офис > Бумага для офисной техники > Дизайн- и сертификат-бумага > Сертификат-бумага,Сертификат-бумага,Дизайн- и сертификат-бумага,Нет,Нет,Нет,Бумага,Канцелярские товары > Бумага,category,17029017,,Нечёткое совпадение,80.7,Низкая,Проверить вручную,Автоматическое переименование небезопасно.
01a0be8b-0311-7e76-b668-7116b202f926,Мебель для персонала > Рива > Системы хранения > Стеллажи,Стеллажи,Системы хранения,Нет,Да,Нет,Стеллаж,Мебель > Полки и стеллажи > Стеллаж,type,,95098,Нечёткое совпадение,85.1,Низкая,Проверить вручную,"Название встречается в KIT несколько раз. Совпадение с типом товара Ozon, а не промежуточной категорией. Автоматическое переименование небезопасно."
01a0be8b-205b-78b0-b069-05457bad4d2e,Мебель для персонала > Стайл > Системы хранения > Шкафы средние,Шкафы средние,Системы хранения,Нет,Да,Нет,Шкафы,Мебель > Шкафы,category,17027919,,Нечёткое совпадение,82.6,Низкая,Проверить вручную,Название встречается в KIT несколько раз. Автоматическое переименование небезопасно.
01a0be8b-37cd-762c-8211-2d04e5563ee3,Мебель для персонала > Стайл > Системы хранения > Шкафы высокие,Шкафы высокие,Системы хранения,Нет,Да,Нет,Шкафы,Мебель > Шкафы,category,17027919,,Нечёткое совпадение,82.6,Низкая,Проверить вручную,Название встречается в KIT несколько раз. Автоматическое переименование небезопасно.
01a0be96-31fc-7a66-bd57-9f8303c549ad,Техника для офиса > Расходные материалы > Этикетки и риббоны > Этикетки самоклеящиеся для папок,Этикетки самоклеящиеся для папок,Этикетки и риббоны,Нет,Нет,Нет,Сеточка для волос,Галантерея и аксессуары > Аксессуары для волос > Сеточка для волос,type,,970982035,Нечёткое совпадение,75.2,Низкая,Проверить вручную,"Совпадение с типом товара Ozon, а не промежуточной категорией. Автоматическое переименование небезопасно."
01a0beb6-7c79-7163-b0d9-467141249765,Кабинеты руководителей > Фёст,Фёст,Кабинеты руководителей,Нет,Нет,Нет,Фетальный допплер,Аптека > Медицинская техника > Фетальный допплер,type,,971006746,Нечёткое совпадение,67.9,Низкая,Проверить вручную,"Совпадение с типом товара Ozon, а не промежуточной категорией. Автоматическое переименование небезопасно."
01a0beb6-8247-71ed-b659-44be81874fc4,Кабинеты руководителей > Фёст > Системы хранения,Системы хранения,Фёст,Нет,Да,Нет,Аксессуар для хранения коллекций,Антиквариат и коллекционирование > Коллекционирование > Аксессуар для хранения коллекций,type,,93830,Нечёткое совпадение,76.6,Низкая,Проверить вручную,"Название встречается в KIT несколько раз. Совпадение с типом товара Ozon, а не промежуточной категорией. Автоматическое переименование небезопасно."
01a0beb6-8823-7aa1-bd8f-8deae0ad3985,Кабинеты руководителей > Фёст > Системы хранения > Шкафы высокие,Шкафы высокие,Системы хранения,Нет,Да,Нет,Шкафы,Мебель > Шкафы,category,17027919,,Нечёткое совпадение,80.7,Низкая,Проверить вручную,Название встречается в KIT несколько раз. Автоматическое переименование небезопасно.
01a0beb7-b177-7d0f-bf71-48c97cc6f5bc,Кабинеты руководителей > Фёст > Системы хранения > Шкафы средние,Шкафы средние,Системы хранения,Нет,Да,Нет,Шкафы,Мебель > Шкафы,category,17027919,,Нечёткое совпадение,80.7,Низкая,Проверить вручную,Название встречается в KIT несколько раз. Автоматическое переименование небезопасно.
01a0beb8-94e4-7897-9f55-a183fc9cf43a,Кабинеты руководителей > Фёст > Системы хранения > Шкафы низкие,Шкафы низкие,Системы хранения,Нет,Да,Нет,Шкафы,Мебель > Шкафы,category,17027919,,Нечёткое совпадение,80.7,Низкая,Проверить вручную,Название встречается в KIT несколько раз. Автоматическое переименование небезопасно.
01a0beb9-338d-744a-af46-7ef04efbcedd,"Электроника > Компьютеры и аксессуары, периферия","Компьютеры и аксессуары, периферия",Электроника,Нет,Нет,Нет,Компьютеры,Электроника > Компьютеры,category,17028619,,Нечёткое совпадение,85.2,Низкая,Проверить вручную,Автоматическое переименование небезопасно.
01a0beb9-3873-7a28-ae9e-bb4ee6735240,"Электроника > Компьютеры и аксессуары, периферия > Носители информации и аксессуары",Носители информации и аксессуары,"Компьютеры и аксессуары, периферия",Нет,Нет,Нет,Аксессуары,Одежда > Аксессуары,category,41777465,,Нечёткое совпадение,80.9,Низкая,Проверить вручную,Автоматическое переименование небезопасно.
01a0beb9-3d53-7629-9d6a-cb30844bca34,"Электроника > Компьютеры и аксессуары, периферия > Носители информации и аксессуары > Хранение CD и DVD дисков",Хранение CD и DVD дисков,Носители информации и аксессуары,Нет,Нет,Нет,Аксессуары и принадлежности для рыбалки,Спорт и отдых > Аксессуары и принадлежности для рыбалки,category,17028702,,Нечёткое совпадение,76.1,Низкая,Проверить вручную,Автоматическое переименование небезопасно.
